Names	Condition
P1_A01	C_1_1
P1_A02	MEGLUMINE_1_1
P1_A03	IPRATROPIUM_BROMIDE_1_1
P1_A04	ISOFLUPREDONE_ACETATE_1_1
P1_A05	ENALAPRILAT_1_1
P1_A06	ACETOPHENAZINE_MALEATE_1_1
P1_A07	BEPHENIUM_HYDROXYNAPTHOATE_1_1
P1_A08	DIPERODON_HYDROCHLORIDE_1_1
P1_A09	CLOFAZIMINE_1_1
P1_A10	BENZYDAMINE_HYDROCHLORIDE_1_1
P1_A11	DESONIDE_1_1
P1_A12	C_2_1
P1_B01	PFI90_1_1
P1_B02	GLYCOPYRROLATE_1_1
P1_B03	ITRACONAZOLE_1_1
P1_B04	OCTISALATE_1_1
P1_B05	RIBOFLAVIN_5-PHOSPHATE_SODIUM_1_1
P1_B06	GLIMEPIRIDE_1_1
P1_B07	CEFTAZIDIME_1_1
P1_B08	GABAPENTIN_1_1
P1_B09	ELETRIPTAN_HYDROBROMIDE_1_1
P1_B10	ARIPIPRAZOLE_1_1
P1_B11	ZILEUTON_1_1
P1_B12	C_3_1
P1_C01	PFI90_2_1
P1_C02	VINPOCETINE_1_1
P1_C03	RABEPRAZOLE_SODIUM_1_1
P1_C04	RISEDRONATE_SODIUM_1_1
P1_C05	EUCALYPTOL_1_1
P1_C06	COLISTIN_SULFATE_1_1
P1_C07	TRAVOPROST_1_1
P1_C08	DECAMETHONIUM_BROMIDE_1_1
P1_C09	BENZBROMARONE_1_1
P1_C10	BROMPERIDOL_1_1
P1_C11	IVERMECTIN_1_1
P1_C12	C_4_1
P1_D01	PFI90_3_1
P1_D02	LORNOXICAM_1_1
P1_D03	CLAVULANATE_LITHIUM_1_1
P1_D04	TRETINOIN_1_1
P1_D05	SULBACTAM_1_1
P1_D06	AMMONIUM_LACTATE_1_1
P1_D07	NOMIFENSINE_MALEATE_1_1
P1_D08	ONDANSETRON_1_1
P1_D09	CYPROTERONE_ACETATE_1_1
P1_D10	DIRITHROMYCIN_1_1
P1_D11	CLORSULON_1_1
P1_D12	C_5_1
P1_E01	PFI90_4_1
P1_E02	MANIDIPINE_HYDROCHLORIDE_1_1
P1_E03	ZOMEPIRAC_SODIUM_1_1
P1_E04	DROSPIRENONE_1_1
P1_E05	CARBADOX_1_1
P1_E06	RIBAVIRIN_1_1
P1_E07	BEMOTRIZINOL_1_1
P1_E08	CANRENONE_1_1
P1_E09	ATOVAQUONE_1_1
P1_E10	ETOPOSIDE_1_1
P1_E11	PENBUTOLOL_SULFATE_1_1
P1_E12	C_6_1
