Names	Conditions
P1_A03	P1_R2_Resveratrol_analog_1_1
P1_A04	P1_R2_PF_06263276_1
P1_A05	P1_R2_ENMD_2076_(Tartrate)_1
P1_A06	P1_R2_CPI_637_1
P1_A07	P1_R2_BRD73954_1
P1_A08	P1_R2_A_485_1
P1_A09	P1_R2_PROTAC_EZH2_Degrader_1_1
P1_A10	P1_R2_Simmiparib_1
P1_A11	P1_R2_UNC6934_1
P1_A12	P1_R2_Mitoxantrone_1
P1_A13	P1_R2_MAK683_1
P1_A14	P1_R2_GSK_1070916_1
P1_A15	P1_R2_Pim_1/2_kinase_inhibitor_1_1
P1_A16	P1_R2_Dorsomorphin_(dihydrochloride)_1
P1_A17	P1_R2_Dot1L_IN_5_1
P1_A18	P1_R2_LEM_14_1
P1_A19	P1_R2_AK_7_1
P1_A20	P1_R2_(E/Z)_Zotiraciclib_(citrate)_1
P1_A21	P1_R2_PARP10/15_IN_2_1
P1_A22	P1_R2_MRT199665_1
P1_B03	P1_R2_R_59_022_(hydrochloride)_1
P1_B04	P1_R2_RGB_286638_1
P1_B05	P1_R2_UNC_0631_1
P1_B06	P1_R2_Ro_31_8220_(mesylate)_1
P1_B07	P1_R2_C8_Ceramide_1
P1_B08	P1_R2_Baricitinib_(phosphate)_1
P1_B09	P1_R2_KDM5_C49_(hydrochloride)_1
P1_B10	P1_R2_Lin28_let_7a_antagonist_1_1
P1_B11	P1_R2_PI_1840_1
P1_B12	P1_R2_BRD9539_1
P1_B13	P1_R2_CCT241736_1
P1_B14	P1_R2_5_Azacytidine_1
P1_B15	P1_R2_Sinapinic_acid_1
P1_B16	P1_R2_Dacinostat_1
P1_B17	P1_R2_Iniparib_1
P1_B18	P1_R2_7_Chloro_4_(piperazin_1_yl)quinoline_1
P1_B19	P1_R2_(R)_(_)_JQ1_Enantiomer_1
P1_B20	P1_R2_dAURK_4_(hydrochloride)_1
P1_B21	P1_R2_TGP_377/421_1
P1_B22	P1_R2_MS023_1
P1_C03	P1_R2_CK2/ERK8_IN_1_1
P1_C04	P1_R2_UNC1021_1
P1_C05	P1_R2_JAK3_IN_6_1
P1_C06	P1_R2_HJB97_1
P1_C07	P1_R2_AMI_1_1
P1_C08	P1_R2_JMJD7_IN_1_1
P1_C09	P1_R2_(R)_BAY1238097_1
P1_C10	P1_R2_Tilorone_(dihydrochloride)_1
P1_C11	P1_R2_Oltipraz_1
P1_C12	P1_R2_MI_538_1
P1_C13	P1_R2_PRMT5_IN_25_1
P1_C14	P1_R2_Entinostat_1
P1_C15	P1_R2_ARV_825_1
P1_C16	P1_R2_CYC_116_1
P1_C17	P1_R2_Enarodustat_1
P1_C18	P1_R2_microRNA_21_IN_2_1
P1_C19	P1_R2_PARP10_IN_3_1
P1_C20	P1_R2_Inauhzin_1
P1_C21	P1_R2_YF_2_1
P1_C22	P1_R2_Bomedemstat_(hydrochloride)_1
P1_D03	P1_R2_AZ3391_1
P1_D04	P1_R2_Y06036_1
P1_D05	P1_R2_UPF_1069_1
P1_D06	P1_R2_Bisindolylmaleimide_I_(hydrochloride)_1
P1_D07	P1_R2_Momelotinib_sulfate_1
P1_D08	P1_R2_Butyzamide_1
P1_D09	P1_R2_GSK121_1
P1_D10	P1_R2_DKFZ_748_1
P1_D11	P1_R2_EX229_1
P1_D12	P1_R2_Abrocitinib_1
P1_D13	P1_R2_Bisindolylmaleimide_I_1
P1_D14	P1_R2_Niraparib_(tosylate_hydrate)_1
P1_D15	P1_R2_AK_1_1
P1_D16	P1_R2_Nicotinamide_1
P1_D17	P1_R2_PIM1_IN_1_1
P1_D18	P1_R2_Pumecitinib_1
P1_D19	P1_R2_ODM_207_1
P1_D20	P1_R2_Dehydrocorydaline_(hydroxyl)_1
P1_D21	P1_R2_GSK761_1
P1_D22	P1_R2_Barasertib_1
P1_E03	P1_R2_MPT0E028_1
P1_E04	P1_R2_JAK/HDAC_IN_1_1
P1_E05	P1_R2_BI_7273_1
P1_E06	P1_R2_SNS_314_(mesylate)_1
P1_E07	P1_R2_MS8815_1
P1_E08	P1_R2_TPOP146_1
P1_E09	P1_R2_CeMMEC1_1
P1_E10	P1_R2_CTPB_1
P1_E11	P1_R2_Pivanex_1
P1_E12	P1_R2_JNJ_7706621_1
P1_E13	P1_R2_HDAC_IN_3_1
P1_E14	P1_R2_SAR_20347_1
P1_E15	P1_R2_MPT0B390_1
P1_E16	P1_R2_BAY_3827_1
P1_E17	P1_R2_MAK683_CH2CH2COOH_(hydrochloride)_1
P1_E18	P1_R2_NU6140_1
P1_E19	P1_R2_AKI603_1
P1_E20	P1_R2_L_Moses_1
P1_E21	P1_R2_Talazoparib_tosylate_1
P1_E22	P1_R2_BD750_1
P1_F03	P1_R2_JANEX_1_1
P1_F04	P1_R2_ZM_447439_1
P1_F05	P1_R2_Decursinol_angelate_1
P1_F06	P1_R2_FL_411_1
P1_F07	P1_R2_Ruxolitinib_(phosphate)_1
P1_F08	P1_R2_Pimelic_Diphenylamide_106_1
P1_F09	P1_R2_BRD4/CK2_IN_1_1
P1_F10	P1_R2_HDACs/mTOR_Inhibitor_1_1
P1_F11	P1_R2_BAY_299_1
P1_F12	P1_R2_BRD4_Inhibitor_10_1
P1_F13	P1_R2_NKL_22_1
P1_F14	P1_R2_KG_501_1
P1_F15	P1_R2_MT_63_78_1
P1_F16	P1_R2_UNC0321_1
P1_F17	P1_R2_Coenzyme_Q0_1
P1_F18	P1_R2_JAK_IN_23_1
P1_F19	P1_R2_WDR5_0103_1
P1_F20	P1_R2_Remodelin_1
P1_F21	P1_R2_JAK_IN_14_1
P1_F22	P1_R2_p32_Inhibitor_M36_1
P1_G03	P1_R2_Tazemetostat_de(methylene_morpholine)_O_C3_O_C_COOH_1
P1_G04	P1_R2_Suberoyl_bis_hydroxamic_acid_1
P1_G05	P1_R2_SRX3177_1
P1_G06	P1_R2_UNC1215_1
P1_G07	P1_R2_(Z)_LFM_A13_1
P1_G08	P1_R2_Veliparib_(dihydrochloride)_1
P1_G09	P1_R2_MRK_740_1
P1_G10	P1_R2_PJ34_1
P1_G11	P1_R2_MS37452_1
P1_G12	P1_R2_GW779439X_1
P1_G13	P1_R2_CEP_33779_1
P1_G14	P1_R2_SCH_1473759_(hydrochloride)_1
P1_G15	"P1_R2_2,4_PDCA_1"
P1_G16	P1_R2_Metformin_(hydrochloride)_1
P1_G17	P1_R2_Oxamflatin_1
P1_G18	P1_R2_EPZ020411_1
P1_G19	P1_R2_PARP10_IN_2_1
P1_G20	P1_R2_Broussonin_E_1
P1_G21	P1_R2_Quisinostat_1
P1_G22	P1_R2_NSC_370284_1
P1_H03	P1_R2_KR_39038_1
P1_H04	P1_R2_Methyl_cinnamate_1
P1_H05	P1_R2_TCS7010_1
P1_H06	P1_R2_FG_2216_1
P1_H07	P1_R2_J22352_1
P1_H08	P1_R2_Reversine_1
P1_H09	P1_R2_WHI_P154_1
P1_H10	P1_R2_Filgotinib_1
P1_H11	P1_R2_Benzyl_selenocyanate_1
P1_H12	P1_R2_SP_96_1
P1_H13	P1_R2_Nepodin_1
P1_H14	P1_R2_SGC_SMARCA_BRDVIII_1
P1_H15	P1_R2_PFI_90_1
P1_H16	P1_R2_KDM4C_IN_1_1
P1_H17	P1_R2_GSK_J4_1
P1_H18	P1_R2_NVP_BSK805_1
P1_H19	P1_R2_PTACH_1
P1_H20	P1_R2_SIRT2_IN_8_1
P1_H21	P1_R2_JAK2/FLT3_IN_1_1
P1_H22	P1_R2_3_TYP_1
P1_I03	P1_R2_BI_9321_(trihydrochloride)_1
P1_I04	P1_R2_HDAC_IN_4_1
P1_I05	P1_R2_GSK8814_1
P1_I06	P1_R2_EM127_1
P1_I07	P1_R2_A_366_1
P1_I08	P1_R2_EI1_1
P1_I09	P1_R2_TFMB_(S)_2_HG_1
P1_I10	P1_R2_PLX51107_1
P1_I11	P1_R2_RBN012759_1
P1_I12	P1_R2_Ruboxistaurin_(hydrochloride)_1
P1_I13	P1_R2_(E/Z)_Zotiraciclib_1
P1_I14	"P1_R2_Pep2m,_myristoylated_(TFA)_1"
P1_I15	P1_R2_OICR_9429_1
P1_I16	P1_R2_PF_03814735_1
P1_I17	P1_R2_Protosappanin_A_1
P1_I18	P1_R2_KDM4_IN_3_1
P1_I19	P1_R2_BAZ2_ICR_1
P1_I20	P1_R2_HDAC10_IN_2_(hydrochloride)_1
P1_I21	P1_R2_BVT948_1
P1_I22	P1_R2_GSK_3484862_1
P1_J03	P1_R2_PARP7_IN_14_1
P1_J04	"P1_R2_Phorbol_12,13_dibutyrate_1"
P1_J05	P1_R2_MC1568_1
P1_J06	P1_R2_ML192_1
P1_J07	P1_R2_Buformin_(hydrochloride)_1
P1_J08	P1_R2_Belinostat_1
P1_J09	P1_R2_A_769662_1
P1_J10	P1_R2_CRT0066854_1
P1_J11	P1_R2_(Rac)_PT2399_1
P1_J12	P1_R2_Aldometanib_1
P1_J13	P1_R2_Ruxolitinib_(S_enantiomer)_1
P1_J14	P1_R2_UBCS039_1
P1_J15	P1_R2_WZ4003_1
P1_J16	P1_R2_Malantide_1
P1_J17	P1_R2_YK_3_237_1
P1_J18	P1_R2_SIRT6_IN_2_1
P1_J19	P1_R2_BET_bromodomain_inhibitor_1
P1_J20	P1_R2_HPOB_1
P1_J21	P1_R2_Alteminostat_1
P1_J22	P1_R2_WT_161_1
P1_K03	P1_R2_PFI_2_(hydrochloride)_1
P1_K04	P1_R2_Benzene_hexabromide_1
P1_K05	P1_R2_SGI_1027_1
P1_K06	P1_R2_JB170_1
P1_K07	P1_R2_Barasertib_HQPA_1
P1_K08	P1_R2_SK_575_1
P1_K09	P1_R2_SIRT1_IN_1_1
P1_K10	P1_R2_BAZ1A_IN_1_1
P1_K11	P1_R2_AG_270_1
P1_K12	P1_R2_EB_3D_1
P1_K13	P1_R2_Tenovin_1_1
P1_K14	P1_R2_IMM_H007_1
P1_K15	P1_R2_PF_9366_1
P1_K16	P1_R2_DDP_38003_(trihydrochloride)_1
P1_K17	P1_R2_GSK9311_1
P1_K18	P1_R2_E3330_1
P1_K19	P1_R2_EHMT2_IN_1_1
P1_K20	P1_R2_PKC_theta_inhibitor_1
P1_K21	P1_R2_GLPG0634_analog_1
P1_K22	P1_R2_PKCiota_IN_2_(formic)_1
P1_L03	P1_R2_Ilorasertib_(hydrochloride)_1
P1_L04	P1_R2_O6BTG_octylglucoside_1
P1_L05	P1_R2_CX_6258_(hydrochloride_hydrate)_1
P1_L06	P1_R2_AU_15330_1
P1_L07	P1_R2_TAK_632_1
P1_L08	P1_R2_AMPK_IN_3_1
P1_L09	P1_R2_MS31_(trihydrochloride)_1
P1_L10	P1_R2_Ginkgolide_C_1
P1_L11	P1_R2_Galegine_(hydrochloride)_1
P1_L12	P1_R2_CAY10603_1
